,index,0,1
2774,2774,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS SPRACHTICKETS
2775,2775,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2776,2776,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2777,2777,,HANDELSWAREN
2778,2778,,HANDELSWAREN
2779,2779,,HANDELSWAREN
2780,2780,,PFLANZLICHE ROHSTOFFE
2781,2781,,MINERALISCHE ROHSTOFFE
2782,2782,,SONSTIGE ROH- UND HILFSSTOFFE
2783,2783,,FERTIG BEZOGENE TEILE
2784,2784,,LEBENSMITTEL
2785,2785,,LEBENSMITTEL ZK
2786,2786,,BRENNSTOFFE
2787,2787,,REINIGUNGSMITTEL
2788,2788,,REINIGUNGSMITTEL GBG
2789,2789,,CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL
2790,2790,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
2791,2791,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
2792,2792,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
2793,2793,,DRUCKWERKE
2794,2794,,DRUCKWERKE KOPIERSERVICE - MDPA
2795,2795,,DRUCKWERKE
2796,2796,,MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG
2797,2797,,SONSTIGE VERBRAUCHSGÜTER
2798,2798,,SONSTIGE VERBRAUCHSGÜTER
2799,2799,,SONSTIGE VERBRAUCHSGÜTER GBG
2800,2800,,SONSTIGE VERBRAUCHSGÜTER
2801,2801,,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
2802,2802,,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
2803,2803,,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
2804,2804,,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
2805,2805,,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
2806,2806,,GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ARBE
2807,2807,,REISEGEBÜHREN
2808,2808,,REISEGEBÜHREN
2809,2809,,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
2810,2810,,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
2811,2811,,MEHRLEISTUNGSVERGÜTUNGEN
2812,2812,,MEHRLEISTUNGSVERGÜTUNGEN
2813,2813,,BELOHNUNGEN UND GELDAUSHILFEN
2814,2814,,SONSTIGE NEBENGEBÜHREN
2815,2815,,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
2816,2816,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
2817,2817,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
2818,2818,,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
2819,2819,,STROM
2820,2820,,GAS
2821,2821,,WASSER
2822,2822,,WÄRME
2823,2823,,WÄRME
2824,2824,,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
2825,2825,,INSTANDH. VON GEBÄUDEN
2826,2826,,INSTANDH. VON GEBÄUDEN
2827,2827,,INSTANDH. VON GEBÄUDEN GBG
2828,2828,,INSTANDH. VON GEBÄUDEN
2829,2829,,INSTANDH. VON GEBÄUDEN
2830,2830,,INSTANDH. VON GEBÄUDEN BRANDSCHUTZ
2831,2831,,INSTANDH. VON GEBÄUDEN EIGENNUTZUNG
2832,2832,,INSTANDH. VON FAHRZEUGEN
2833,2833,,INSTANDH. VON SONSTIGEN ANLAGEN
2834,2834,,PERSONEN- UND GÜTERTRANSPORTE
2835,2835,,PERSONEN- UND GÜTERTRANSPORTE GBG
2836,2836,,PERSONEN- UND GÜTERTRANSPORTE
2837,2837,,TELEKOMMUNIKATIONSDIENSTE
2838,2838,,TELEKOMMUNIKATIONSDIENSTE
2839,2839,,TELEKOMMUNIKATIONSDIENSTE
2840,2840,,ZINSEN FÜR FINANZSCHULDEN - INLAND
2841,2841,,GELDVERKEHRSSPESEN
2842,2842,,VERSICHERUNGEN
2843,2843,,SCHADENSFÄLLE
2844,2844,,MIETZINSE
2845,2845,,MIETZINSE
2846,2846,,MIETZINSE HOLDING
2847,2847,,MIETZINSE
2848,2848,,MIETZINSE ITG
2849,2849,,MIETZINSE LEASINGRATEN
2850,2850,,MIETZINSE
2851,2851,,MIETZINSE GBG-MIETEN
2852,2852,,MIETZINSE GBG-MIETEN
2853,2853,,MIETZINSE
2854,2854,,MIETZINSE
2855,2855,,MIETZINSE KÜNDIGUNGSVERZICHT
2856,2856,,MIETZINSE
2857,2857,,MIETZINSE EIGENNUTZUNG
2858,2858,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
2859,2859,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
2860,2860,,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
2861,2861,,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
2862,2862,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2863,2863,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
2864,2864,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
2865,2865,,ENTGELTE FÜR SONSTIGE LEISTUNGEN HOLDING
2866,2866,,ENTGELTE FÜR SONSTIGE LEISTUNGEN SUPERVISIONEN UND SCHULUNGEN
2867,2867,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
2868,2868,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2869,2869,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
2870,2870,,ENTGELTE FÜR SONSTIGE LEISTUNGEN TÜV ÜBERPRÜFUNG GARTENSPIELGERÄTE
2871,2871,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
2872,2872,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2873,2873,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2874,2874,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
2875,2875,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2876,2876,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
2877,2877,,ENTGELTE FÜR SONSTIGE LEISTUNGEN HONORARE IZB
2878,2878,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2879,2879,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2880,2880,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2881,2881,,ENTGELTE FÜR SONSTIGE LEISTUNGEN SUPERVISIONEN UND SCHULUNGEN
2882,2882,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2883,2883,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2884,2884,,SONSTIGE AUSGABEN
2885,2885,,LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS
2886,2886,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
2887,2887,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE TARIFGLEICHSTELLUNG
2888,2888,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE TAGESMÜTTERFÖRDERUNG
2889,2889,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE PRIVATKINDERGÄRTEN
2890,2890,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW
2891,2891,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW TARIFGLEICHSTELLUNG
2892,2892,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW PRIVATKINDERGÄRTEN
2893,2893,,BETRIEBSAUSSTATTUNG
2894,2894,,BETRIEBSAUSSTATTUNG GBG
2895,2895,,BETRIEBSAUSSTATTUNG
2896,2896,,SONDERANLAGEN
2897,2897,,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
2898,2898,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2899,2899,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS GBG
2900,2900,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2901,2901,,HANDELSWAREN
2902,2902,,PFLANZLICHE ROHSTOFFE
2903,2903,,SONSTIGE ROH- UND HILFSSTOFFE
2904,2904,,FERTIG BEZOGENE TEILE
2905,2905,,LEBENSMITTEL
2906,2906,,LEBENSMITTEL ZK
2907,2907,,REINIGUNGSMITTEL
2908,2908,,REINIGUNGSMITTEL GBG
2909,2909,,CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL
2910,2910,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
2911,2911,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
2912,2912,,DRUCKWERKE
2913,2913,,DRUCKWERKE KOPIERSERVICE - MDPA
2914,2914,,MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG
2915,2915,,SONSTIGE VERBRAUCHSGÜTER
2916,2916,,SONSTIGE VERBRAUCHSGÜTER GBG
2917,2917,,SONSTIGE VERBRAUCHSGÜTER
2918,2918,,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
2919,2919,,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
2920,2920,,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
2921,2921,,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
2922,2922,,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
2923,2923,,GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE
2924,2924,,REISEGEBÜHREN
2925,2925,,MEHRLEISTUNGSVERGÜTUNGEN
2926,2926,,MEHRLEISTUNGSVERGÜTUNGEN
2927,2927,,BELOHNUNGEN UND GELDAUSHILFEN
2928,2928,,SONSTIGE NEBENGEBÜHREN
2929,2929,,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
2930,2930,,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
2931,2931,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
2932,2932,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
2933,2933,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
2934,2934,,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
2935,2935,,STROM
2936,2936,,GAS
2937,2937,,WASSER
2938,2938,,WÄRME
2939,2939,,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
2940,2940,,INSTANDH. VON GEBÄUDEN
2941,2941,,INSTANDH. VON GEBÄUDEN GBG
2942,2942,,INSTANDH. VON GEBÄUDEN
2943,2943,,INSTANDH. VON GEBÄUDEN
2944,2944,,INSTANDH. VON GEBÄUDEN BRANDSCHUTZ
2945,2945,,INSTANDH. VON SONSTIGEN ANLAGEN
2946,2946,,PERSONEN- UND GÜTERTRANSPORTE
2947,2947,,TELEKOMMUNIKATIONSDIENSTE
2948,2948,,TELEKOMMUNIKATIONSDIENSTE
2949,2949,,TELEKOMMUNIKATIONSDIENSTE
2950,2950,,ZINSEN FÜR FINANZSCHULDEN - INLAND
2951,2951,,GELDVERKEHRSSPESEN
2952,2952,,VERSICHERUNGEN
2953,2953,,SCHADENSFÄLLE
2954,2954,,MIETZINSE
2955,2955,,MIETZINSE GBG-MIETEN
2956,2956,,MIETZINSE KÜNDIGUNGSVERZICHT
2957,2957,,MIETZINSE
2958,2958,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
2959,2959,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2960,2960,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2961,2961,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
2962,2962,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
2963,2963,,ENTGELTE FÜR SONSTIGE LEISTUNGEN HOLDING
2964,2964,,ENTGELTE FÜR SONSTIGE LEISTUNGEN SUPERVISIONEN UND SCHULUNGEN
2965,2965,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
2966,2966,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
2967,2967,,ENTGELTE FÜR SONSTIGE LEISTUNGEN TÜV ÜBERPRÜFUNG GARTENSPIELGERÄTE
2968,2968,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
2969,2969,,ENTGELTE FÜR SONSTIGE LEISTUNGEN WÄSCHEREINIGUNG
2970,2970,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
2971,2971,,SONSTIGE AUSGABEN
2972,2972,,LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS
2973,2973,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE TARIFGLEICHSTELLUNG
2974,2974,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE PRIVATKINDERGÄRTEN
2975,2975,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW TARIFGLEICHSTELLUNG
2976,2976,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW PRIVATKINDERGÄRTEN
2977,2977,,SONST. LFD. TRANSFERZAHLUNGEN AN PRIVATE HAUSHALTE TAGESMÜTTERFÖRDERUNG
2978,2978,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
2979,2979,,GEBÄUDE GBG
2980,2980,,MASCHINEN UND MASCHINELLE ANLAGEN
2981,2981,,BETRIEBSAUSSTATTUNG
2982,2982,,BETRIEBSAUSSTATTUNG GBG
2983,2983,,BETRIEBSAUSSTATTUNG
2984,2984,,SONDERANLAGEN
2985,2985,,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
2986,2986,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2987,2987,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS GBG
2988,2988,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2989,2989,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
2990,2990,,HANDELSWAREN
2991,2991,,PFLANZLICHE ROHSTOFFE
2992,2992,,SONSTIGE ROH- UND HILFSSTOFFE
2993,2993,,FERTIG BEZOGENE TEILE
2994,2994,,LEBENSMITTEL
2995,2995,,LEBENSMITTEL ZK
2996,2996,,BRENNSTOFFE
2997,2997,,TREIBSTOFFE
2998,2998,,SCHMIER- UND SCHLEIFMITTEL
2999,2999,,REINIGUNGSMITTEL
3000,3000,,REINIGUNGSMITTEL GBG
3001,3001,,CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL
3002,3002,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
3003,3003,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
3004,3004,,DRUCKWERKE
3005,3005,,DRUCKWERKE KOPIERSERVICE - MDPA
3006,3006,,MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG
3007,3007,,SONSTIGE VERBRAUCHSGÜTER
3008,3008,,SONSTIGE VERBRAUCHSGÜTER
3009,3009,,SONSTIGE VERBRAUCHSGÜTER GBG
3010,3010,,SONSTIGE VERBRAUCHSGÜTER
3011,3011,,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
3012,3012,,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
3013,3013,,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
3014,3014,,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
3015,3015,,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
3016,3016,,GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG
3017,3017,,GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ARBE
3018,3018,,REISEGEBÜHREN
3019,3019,,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
3020,3020,,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
3021,3021,,MEHRLEISTUNGSVERGÜTUNGEN
3022,3022,,MEHRLEISTUNGSVERGÜTUNGEN
3023,3023,,BELOHNUNGEN UND GELDAUSHILFEN
3024,3024,,SONSTIGE NEBENGEBÜHREN
3025,3025,,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
3026,3026,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
3027,3027,,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
3028,3028,,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
3029,3029,,STROM
3030,3030,,GAS
3031,3031,,WASSER
3032,3032,,WÄRME
3033,3033,,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
3034,3034,,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
3035,3035,,INSTANDH. VON GEBÄUDEN
3036,3036,,INSTANDH. VON GEBÄUDEN GBG
3037,3037,,INSTANDH. VON GEBÄUDEN
3038,3038,,INSTANDH. VON GEBÄUDEN
3039,3039,,INSTANDH. VON GEBÄUDEN BRANDSCHUTZ
3040,3040,,INSTANDH. VON GEBÄUDEN EIGENNUTZUNG
3041,3041,,INSTANDH. VON FAHRZEUGEN
3042,3042,,INSTANDH. VON SONSTIGEN ANLAGEN
3043,3043,,INSTANDH. VON SONDERANLAGEN SCHWIMMBÄDER
3044,3044,,PERSONEN- UND GÜTERTRANSPORTE
3045,3045,,TELEKOMMUNIKATIONSDIENSTE
3046,3046,,TELEKOMMUNIKATIONSDIENSTE
3047,3047,,TELEKOMMUNIKATIONSDIENSTE
3048,3048,,ZINSEN FÜR FINANZSCHULDEN - INLAND
3049,3049,,GELDVERKEHRSSPESEN
3050,3050,,VERSICHERUNGEN
3051,3051,,SCHADENSFÄLLE
3052,3052,,MIETZINSE
3053,3053,,MIETZINSE
3054,3054,,MIETZINSE LEASINGRATEN
3055,3055,,MIETZINSE GBG-MIETEN
3056,3056,,MIETZINSE GBG-MIETEN
3057,3057,,MIETZINSE KÜNDIGUNGSVERZICHT
3058,3058,,MIETZINSE
3059,3059,,MIETZINSE EIGENNUTZUNG
3060,3060,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
3061,3061,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3062,3062,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3063,3063,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
3064,3064,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
3065,3065,,ENTGELTE FÜR SONSTIGE LEISTUNGEN HOLDING
3066,3066,,ENTGELTE FÜR SONSTIGE LEISTUNGEN SUPERVISIONEN UND SCHULUNGEN
3067,3067,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
3068,3068,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
3069,3069,,ENTGELTE FÜR SONSTIGE LEISTUNGEN TÜV ÜBERPRÜFUNG GARTENSPIELGERÄTE
3070,3070,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
3071,3071,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
3072,3072,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3073,3073,,ENTGELTE FÜR SONSTIGE LEISTUNGEN INTEGRATIONSASSISTENTEN
3074,3074,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3075,3075,,SONSTIGE AUSGABEN
3076,3076,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE TARIFGLEICHSTELLUNG
3077,3077,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW PRIVATKINDERGÄRTEN
3078,3078,,GEBÄUDE GBG
3079,3079,,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
3080,3080,,STROM
3081,3081,,GAS
3082,3082,,WASSER
3083,3083,,WÄRME
3084,3084,,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
3085,3085,,INSTANDH. VON GEBÄUDEN
3086,3086,,ZINSEN FÜR FINANZSCHULDEN - INLAND
3087,3087,,VERSICHERUNGEN
3088,3088,,MIETZINSE
3089,3089,,"MIETZINSE JZ EGGENLEND, ANDRITZ"
3090,3090,,MIETZINSE GBG-MIETEN
3091,3091,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
3092,3092,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3093,3093,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
3094,3094,,ENTGELTE FÜR SONSTIGE LEISTUNGEN KINDER- UND JUGENDBETEILIGUNG
3095,3095,,ENTGELTE FÜR SONSTIGE LEISTUNGEN FREIE DIENSTVERTRÄGE
3096,3096,,LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS
3097,3097,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
3098,3098,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE TARIFGLEICHSTELLUNG
3099,3099,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW
3100,3100,,KAP.TRANSFERZ. AN PRIV.ORGANISATIONEN O. ERWERBSZW
3101,3101,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
3102,3102,,GEBÄUDE
3103,3103,,MASCHINEN UND MASCHINELLE ANLAGEN
3104,3104,,FAHRZEUGE
3105,3105,,AMTSAUSSTATTUNG
3106,3106,,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
3107,3107,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
3108,3108,,HANDELSWAREN
3109,3109,,HANDELSWAREN ITG
3110,3110,,HANDELSWAREN
3111,3111,,ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE
3112,3112,,FERTIG BEZOGENE TEILE
3113,3113,,SONSTIGE VERBRAUCHSGÜTER
3114,3114,,STROM
3115,3115,,INSTANDH. VON GEBÄUDEN
3116,3116,,INSTANDH. VON GEBÄUDEN GBG
3117,3117,,INSTANDH. VON GEBÄUDEN
3118,3118,,INSTANDH. VON MASCHINEN U. MASCHINELLEN ANLAGEN
3119,3119,,INSTANDH. VON FAHRZEUGEN
3120,3120,,INSTANDH. VON SONSTIGEN ANLAGEN
3121,3121,,INSTANDH. VON SONDERANLAGEN
3122,3122,,INSTANDH. VON SONDERANLAGEN GBG
3123,3123,,INSTANDH. VON SONDERANLAGEN HOLDING
3124,3124,,PERSONEN- UND GÜTERTRANSPORTE
3125,3125,,PERSONEN- UND GÜTERTRANSPORTE HOLDING
3126,3126,,PERSONEN- UND GÜTERTRANSPORTE SONDERVERANSTALTUNGEN
3127,3127,,BERATUNGSKOSTEN
3128,3128,,BERATUNGSKOSTEN GBG
3129,3129,,ZINSEN FÜR FINANZSCHULDEN - INLAND
3130,3130,,VERSICHERUNGEN
3131,3131,,VERSICHERUNGEN
3132,3132,,SCHADENSFÄLLE
3133,3133,,MIETZINSE INFRANET
3134,3134,,MIETZINSE INFRANET
3135,3135,,MIETZINSE
3136,3136,,MIETZINSE INFRANET
3137,3137,,MIETZINSE
3138,3138,,MIETZINSE SONDERVERANSTALTUNGEN
3139,3139,,MIETZINSE GBG-MIETEN
3140,3140,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
3141,3141,,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
3142,3142,,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
3143,3143,,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN HOLDING
3144,3144,,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN SONDERVERANSTALTUNGEN
3145,3145,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3146,3146,,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
3147,3147,,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
3148,3148,,ENTGELTE FÜR SONSTIGE LEISTUNGEN HOLDING
3149,3149,,ENTGELTE FÜR SONSTIGE LEISTUNGEN
3150,3150,,ENTGELTE FÜR SONSTIGE LEISTUNGEN SONDERVERANSTALTUNGEN
3151,3151,,LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS
3152,3152,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
3153,3153,,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
3154,3154,,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW
3155,3155,,SONST. LFD. TRANSFERZAHLUNGEN AN PRIVATE HAUSHALTE
3156,3156,,KAP.TRANSFERZAHLUNGEN AN SONST.TRÄGER D.ÖFFENTL.RE
3157,3157,,KAP.TRANSFERZ. AN PRIV.ORGANISATIONEN O. ERWERBSZW DACHVERBÄNDE
3158,3158,,KAP.TRANSFERZ. AN PRIV.ORGANISATIONEN O. ERWERBSZW
3159,3159,,MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND)
3160,3160,,BETRIEBSAUSSTATTUNG
3161,3161,,BETRIEBSAUSSTATTUNG GBG
3162,3162,,SONDERANLAGEN HOLDING
3163,3163,,AKTIVIERUNGSFÄHIGE RECHTE
3164,3164,,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
3165,3165,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
3166,3166,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS GBG
3167,3167,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
3168,3168,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
3169,3169,,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
3170,3170,,MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN
3171,3171,,HANDELSWAREN
3172,3172,,HANDELSWAREN POSTSERVICE
3173,3173,,HANDELSWAREN
3174,3174,,HANDELSWAREN BIBLIOTHEKSPROSPEKT
3175,3175,,GERINGWERTIGE ERSATZTEILE
3176,3176,,SONSTIGE ROH- UND HILFSSTOFFE
3177,3177,,FERTIG BEZOGENE TEILE
3178,3178,,TREIBSTOFFE BÜCHERBUS
3179,3179,,SCHMIER- UND SCHLEIFMITTEL
3180,3180,,REINIGUNGSMITTEL GBG
3181,3181,,REINIGUNGSMITTEL
3182,3182,,CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL
3183,3183,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
3184,3184,,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
3185,3185,,DRUCKWERKE
3186,3186,,DRUCKWERKE KOPIERSERVICE - MDPA
3187,3187,,DRUCKWERKE
3188,3188,,DRUCKWERKE BÜCHER
3189,3189,,DRUCKWERKE WERBUNG
